X_s	Y_s	X_p	Y_p	X_d	Y_d	X_f	Y_f	X_sum	Y_sum
-19.13124628	132.4854495	-18.9006503	4.269139393	-18.87868878	4.260428519			-19.13124628	141.3343547
-19.12026552	134.1736186	-18.88966954	4.180151395	-18.86770802	4.169304472			-19.12026552	143.1540449
-19.10928475	135.6994791	-18.87868878	4.086119929	-18.85672726	4.071898272			-19.10928475	144.8007618
-19.09830399	137.0482729	-18.86770802	3.98725753	-18.8457465	3.968735194			-19.09830399	146.2586972
-19.08732323	138.214322	-18.85672726	3.883791322	-18.83476573	3.860367684			-19.08732323	147.5216851
-19.07634247	139.1927416	-18.8457465	3.776165006	-18.82378497	3.747363703			-19.07634247	148.5844113
-19.06536171	139.9744023	-18.83476573	3.664847827	-18.81280421	3.630305714			-19.06536171	149.4370389
-19.05438095	140.5426924	-18.82378497	3.550311352	-18.80182345	3.509881272			-19.05438095	150.0617637
-19.04340019	140.893344	-18.81280421	3.433038783	-18.79084269	3.386681889			-19.04340019	150.4539321
-19.03241943	141.0233826	-18.80182345	3.31360566	-18.77986193	3.261293723			-19.03241943	150.6102858
-19.02143867	140.9257163	-18.79084269	3.192496387	-18.76888117	3.134490769			-19.02143867	150.523168
-19.01045791	140.6001671	-18.77986193	3.070203833	-18.75790041	3.006847966			-19.01045791	150.1923024
-18.99947715	140.0479874	-18.76888117	2.947380319	-18.74691965	2.878815236			-18.99947715	149.6189631
-18.98849639	139.2691147	-18.75790041	2.824484365	-18.73593889	2.751006519			-18.98849639	148.8030084
-18.97751563	138.2705052	-18.74691965	2.701872104	-18.72495813	2.623929628			-18.97751563	147.7518083
-18.96653486	137.0577727	-18.73593889	2.58007392	-18.71397737	2.497966519			-18.96653486	146.4712901
-18.9555541	135.6267564	-18.72495813	2.459484295	-18.70299661	2.373551622			-18.9555541	144.9569248
-18.94457334	133.9777442	-18.71397737	2.340374547	-18.69201584	2.251088367			-18.94457334	143.2089459
-18.93359258	132.1202827	-18.70299661	2.22310426	-18.68103508	2.130855643			-18.93359258	141.2375033
-18.92261182	130.065308	-18.69201584	2.107997222	-18.67005432	2.013094995			-18.92261182	139.054229
-18.91163106	127.8194465	-18.68103508	1.995255704	-18.65907356	1.898116312			-18.91163106	136.666146
-18.9006503	125.4012939	-18.67005432	1.885043895	-18.6480928	1.786192063			-18.9006503	134.0931443
-18.88966954	122.8221329	-18.65907356	1.777612656	-18.63711204	1.677561828			-18.88966954	131.3472646
-18.87868878	120.0832531	-18.6480928	1.673172066	-18.62613128	1.572432777			-18.87868878	128.4298015
-18.86770802	117.1921492	-18.63711204	1.571908033	-18.61515052	1.470979279			-18.86770802	125.3487112
-18.85672726	114.1568972	-18.62613128	1.473983921	-18.60416976	1.373342986			-18.85672726	122.1125868
-18.8457465	110.9915926	-18.61515052	1.379536499	-18.593189	1.279635517			-18.8457465	118.7364928
-18.83476573	107.711091	-18.60416976	1.288672321	-18.58220824	1.189939248			-18.83476573	115.2363066
-18.82378497	104.3302708	-18.593189	1.201475859	-18.57122748	1.104306849			-18.82378497	111.6279459
-18.81280421	100.8643281	-18.58220824	1.118007902	-18.56024672	1.02277125			-18.81280421	107.9276726
-18.80182345	97.3312727	-18.57122748	1.038300147	-18.54926595	0.945333272			-18.80182345	104.1547596
-18.79084269	93.74624744	-18.56024672	0.962384127	-18.53828519	0.871975841			-18.79084269	100.3254257
-18.77986193	90.12433192	-18.54926595	0.890246458	-18.52730443	0.802659229			-18.77986193	96.45582948
-18.76888117	86.48557589	-18.53828519	0.821867989	-18.51632367	0.737326874			-18.76888117	92.56744698
-18.75790041	82.84428104	-18.52730443	0.75721015	-18.50534291	0.675902118			-18.75790041	88.67561337
-18.74691965	79.21127711	-18.51632367	0.696220034	-18.49436215	0.618296554			-18.74691965	84.79196445
-18.73593889	75.60230714	-18.50534291	0.638824502	-18.48338139	0.564405681			-18.73593889	80.93338758
-18.72495813	72.02966056	-18.49436215	0.584946614	-18.47240063	0.51411567			-18.72495813	77.11307449
-18.71397737	68.50206027	-18.48338139	0.534488838	-18.46141987	0.467302784			-18.71397737	73.34040134
-18.70299661	65.03030083	-18.47240063	0.487350923	-18.45043911	0.423833474			-18.70299661	69.62695671
-18.69201584	61.62412316	-18.46141987	0.443423757	-18.43945835	0.383569304			-18.69201584	65.98320875
